TPR@1%FPR,blurring,,,,,,TPR@1%FPR,"brightness
",,,,,,TPR@1%FPR,"compression
",,,,,,TPR@1%FPR,"contrast
",,,,,,TPR@1%FPR,"noise
",,,,
VINE-B,1,1,1,1,0.958,,VINE-B,1,0.994,0.988,0.979,0.971,,VINE-B,0.988,1,1,1,1,,VINE-B,1,1,1,0.999,0.999,,VINE-B,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit acc,blurring,,,,,,bit acc,"brightness
",,,,,,bit acc,"compression
",,,,,,bit acc,"contrast
",,,,,,bit acc,"noise
",,,,
,1,3,5,7,9,,,1.2,1.4,1.6,1.8,2,,,10,25,40,55,70,,,1.2,1.4,1.6,1.8,2,,,0.02,0.04,0.06,0.08,0.1
MBRS,1,1,1,0.999866667,0.9906,,MBRS,1,1,0.999933333,0.999933333,0.999733333,,MBRS,0.996366667,1,1,1,1,,MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1
CIN,1,1,0.998433333,0.973333333,0.7699,,CIN,1,1,0.9999,0.9998,0.9993,,CIN,0.849166667,0.967,0.990566667,0.9977,0.9997,,CIN,1,1,1,1,1,,CIN,1,1,1,1,1
PIMoG,1,1,0.999933333,0.999666667,0.997166667,,PIMoG,0.9989,0.9927,0.9828,0.968133333,0.952833333,,PIMoG,0.9287,0.999033333,0.999966667,1,1,,PIMoG,0.999766667,0.997833333,0.9942,0.988533333,0.980566667,,PIMoG,1,1,0.999766667,0.983233333,0.9238
RivaGAN,0.9985625,0.9785,0.7765625,0.57909375,0.5191875,,RivaGAN,0.99809375,0.99590625,0.9913125,0.9841875,0.97403125,,RivaGAN,0.65053125,0.867875,0.949625,0.9815,0.993125,,RivaGAN,0.9981875,0.99690625,0.99371875,0.9885,0.9810625,,RivaGAN,0.9985625,0.99728125,0.9880625,0.958125,0.9080625
SepMark,0.9994,0.9986,0.9975,0.991933333,0.962166667,,SepMark,0.998766667,0.996033333,0.991433333,0.987833333,0.9826,,SepMark,0.9793,0.9916,0.9933,0.995066667,0.995333333,,SepMark,0.998966667,0.998066667,0.996666667,0.994533333,0.992933333,,SepMark,0.999,0.998466667,0.9981,0.997533333,0.997033333
DWTDCT,0.669533333,0.494266667,0.489933333,0.490433333,0.491166667,,DWTDCT,0.8667,0.815633333,0.591466667,0.452033333,0.4611,,DWTDCT,0.4921,0.495066667,0.491633333,0.492133333,0.4996,,DWTDCT,0.866333333,0.817466667,0.660766667,0.459833333,0.4519,,DWTDCT,0.862733333,0.840133333,0.711366667,0.505466667,0.412266667
DWTDCTSVD,1,0.768066667,0.570433333,0.509933333,0.487666667,,DWTDCTSVD,0.645,0.592566667,0.550366667,0.552866667,0.516266667,,DWTDCTSVD,0.463066667,0.5357,0.502966667,0.7543,0.856933333,,DWTDCTSVD,0.667533333,0.62,0.550366667,0.560266667,0.549366667,,DWTDCTSVD,1,0.9994,0.997366667,0.973466667,0.731
