Ultra edit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPR@1%FPR,,,,,,TPR@0.1%FPR,,,,,,Bit Acc,,,,,,AUROC,,,,,,folder path of watermarked imgs,folder path of csv (encoding),folder path of csv (decoding)
,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,,,
DWTDCTSVD,0.103,0.094,0.088,0.071,0.055,,0.048,0.047,0.036,0.032,0.028,,0.510333333,0.5042,0.502933333,0.507933333,0.495,,0.5272765,0.5085615,0.504157,0.515379,0.4980325,,,,
SSL,0.399,0.339,0.302,0.268,0.244,,0.336,0.264,0.248,0.209,0.196,,0.6772,0.651066667,0.6364,0.623966667,0.620066667,,0.8533835,0.819648,0.804503,0.785135,0.7811335,,,,
StegaStamp,0.988,0.974,0.954,0.932,0.907,,0.981,0.958,0.946,0.914,0.887,,0.939,0.92,0.902,0.885,0.872,,0.9981355,0.9970815,0.9941,0.984429,0.977098,,,,
EditGuard,0.008,0.006,0.005,0.005,0.004,,0,0,0,0.002,0.001,,0.4945,0.493921875,0.492828125,0.4944375,0.49671875,,0.4765605,0.471228,0.4699575,0.4717625,0.486749,,,,
VINE-R,0.996,0.993,0.99,0.979,0.9711,,0.994,0.984,0.981,0.958,0.956,,0.9433,0.9289,0.9196,0.9068,0.9034,,0.9998,0.9996,0.9982,0.9972,0.9939,,,,
VINE-B,0.986,0.988,0.971,0.969,0.968,,0.981,0.98,0.959,0.951,0.944,,0.8984,0.8876,0.876,0.8697,0.8602,,0.9986,0.9966,0.9963,0.9949,0.9957,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magicbrush,50 steps,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPR@1%FPR,,,,,,TPR@0.1%FPR,,,,,,Bit Acc,,,,,,AUROC,,,,,,,,
,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,,,
MBRS,0.941,0.919,0.893,0.881,0.869,,0.926,0.902,0.879,0.865,0.855,,0.9687,0.960366667,0.948766667,0.9436,0.9348,,0.985364,0.984389,0.974243,0.969518,0.9580275,,,,
