TPR@1%FPR,blurring,,,,,,TPR@1%FPR,"brightness
",,,,,,TPR@1%FPR,"compression
",,,,,,TPR@1%FPR,"contrast
",,,,,,TPR@1%FPR,"noise
",,,,
StegaStamp,1,0.998,0.973,0.893,0.801,,StegaStamp,0.998,0.992,0.982,0.97,0.957,,StegaStamp,0.895,0.997,0.999,0.999,0.999,,StegaStamp,0.999,0.998,0.996,0.993,0.99,,StegaStamp,0.999,0.999,0.996,0.992,0.984
VINE-R,0.9999,0.9417,0.9514,0.8585,0.7656,,VINE-R,0.9997,0.9937,0.983,0.9686,0.9533,,VINE-R,0.8613,0.96,0.9834,0.9927,0.998,,VINE-R,1,0.9998,0.9992,0.9981,0.9965,,VINE-R,0.9988,0.9956,0.9907,0.9824,0.9716
VINE-B,0.9988,0.9105,0.9013,0.8045,0.7105,,VINE-B,0.9981,0.9883,0.9738,0.9565,0.9386,,VINE-B,0.7705,0.9047,0.95,0.9735,0.9919,,VINE-B,0.9998,0.9985,0.9954,0.9914,0.9871,,VINE-B,0.9962,0.9874,0.9735,0.9527,0.9291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROC,blurring,blurring,,,,,AUROC,"brightness
",,,,,,AUROC,"compression
",,,,,,AUROC,"contrast
",,,,,,AUROC,"noise
",,,,
,1,2,3,4,5,,,1.2,1.4,1.6,1.8,2,,,10,25,40,55,70,,,1.2,1.4,1.6,1.8,2,,,0.02,0.04,0.06,0.08,0.1
MBRS,1,1,0.996197,0.764304,0.553478,,MBRS,1,1,1,1,1,,MBRS,0.9085405,0.9963535,0.998688,0.999107,0.9999215,,MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1
CIN,1,0.999964,0.7072865,0.530225,0.505975,,CIN,1,1,1,1,1,,CIN,0.866251,0.992084,0.998722,0.9998405,0.999792,,CIN,1,1,1,1,1,,CIN,1,1,1,1,0.9999995
PIMoG,1,1,0.999997,0.9985655,0.952015,,PIMoG,0.9999965,0.999947,0.9994755,0.9988345,0.998943,,PIMoG,0.632249,0.898661,0.9795255,0.9981665,0.999939,,PIMoG,1,0.9999985,0.9999965,0.999967,0.999818,,PIMoG,1,1,0.999424,0.988717,0.9456295
SepMark,1,0.999971,0.992602,0.8762315,0.6981395,,SepMark,0.999999,0.9999335,0.999237,0.998935,0.997842,,SepMark,0.9981115,0.9999855,0.999996,0.999994,0.999998,,SepMark,0.999998,0.9999975,0.9999975,0.999993,0.9999895,,SepMark,1,1,0.999999,0.999994,0.999984
TrustMark_C,1,1,0.99997,0.974549,0.8276655,,TrustMark_C,1,0.9997985,0.999864,0.9988485,0.997636,,TrustMark_C,0.937385,0.9999805,1,1,1,,TrustMark_C,1,1,1,0.999843,0.9997485,,TrustMark_C,1,1,1,1,0.9999805
StegaStamp,1,1,0.999305,0.9974575,0.991374,,StegaStamp,1,1,0.99999,0.9995745,0.9995645,,StegaStamp,0.9857865,1,1,1,1,,StegaStamp,1,1,1,0.9999715,0.9999495,,StegaStamp,1,1,1,1,1
VINE-R,1,1,1,1,0.9999,,VINE-R,1,1,0.9999,0.9997,0.9996,,VINE-R,0.9983,1,1,1,1,,VINE-R,1,1,1,1,1,,VINE-R,1,1,1,1,1
VINE-B,1,1,1,1,0.9975,,VINE-B,1,0.9999,0.9996,0.998,0.9979,,VINE-B,0.9894,0.9992,1,1,1,,VINE-B,1,1,1,1,1,,VINE-B,1,1,1,1,1
